Model,MSO54
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09
Record Length,31250,,Record Length,31250,,Record Length,31250,,Record Length,31250
Zero Index,343.90156250,,Zero Index,343.90156250,,Zero Index,343.90156250,,Zero Index,343.90156250
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3,CH4
-8.31685000e-07,1.09375000e-02,-9.68750000e-04,-2.81250000e-04,-3.07812500e-02
-8.28485000e-07,1.15625000e-02,-1.87500000e-03,7.18750000e-04,-2.87500000e-02
-8.25285000e-07,5.62500000e-03,-2.28125000e-03,-1.03125000e-03,-2.46875000e-02
-8.22085000e-07,1.20312500e-02,-1.09375000e-03,-1.28125000e-03,-4.04687500e-02
-8.18885000e-07,3.12500000e-03,-5.00000000e-04,2.18750000e-04,-2.62500000e-02
-8.15685000e-07,1.06250000e-02,-3.43750000e-04,-9.06250000e-04,-3.06250000e-02
-8.12485000e-07,8.90625000e-03,-1.87500000e-04,2.18750000e-04,-2.82812500e-02
-8.09285000e-07,6.25000000e-03,-9.37500000e-04,-1.03125000e-03,-2.40625000e-02
-8.06085000e-07,9.21875000e-03,-1.50000000e-03,-3.12500000e-05,-2.82812500e-02
-8.02885000e-07,1.78125000e-02,-5.62500000e-04,-6.56250000e-04,-2.71875000e-02
-7.99685000e-07,7.34375000e-03,1.56250000e-04,-1.78125000e-03,-2.73437500e-02
-7.96485000e-07,7.65625000e-03,-2.12500000e-03,-3.12500000e-05,-2.48437500e-02
-7.93285000e-07,7.18750000e-03,3.12500000e-05,-3.12500000e-05,-2.75000000e-02
-7.90085000e-07,1.12500000e-02,-7.81250000e-04,-1.28125000e-03,-1.87500000e-02
-7.86885000e-07,5.46875000e-03,-8.12500000e-04,9.37500000e-05,-3.37500000e-02
-7.83685000e-07,8.43750000e-03,-5.62500000e-04,-3.12500000e-05,-3.46875000e-02
-7.80485000e-07,1.50000000e-02,-4.68750000e-04,2.18750000e-04,-3.57812500e-02
-7.77285000e-07,1.01562500e-02,-2.03125000e-03,-1.03125000e-03,-3.18750000e-02
-7.74085000e-07,2.18750000e-03,-4.06250000e-04,-2.81250000e-04,-3.12500000e-02
-7.70885000e-07,1.32812500e-02,-9.68750000e-04,-5.31250000e-04,-3.17187500e-02
-7.67685000e-07,2.50000000e-03,4.06250000e-04,-1.15625000e-03,-3.04687500e-02
-7.64485000e-07,1.35937500e-02,-1.56250000e-03,-2.40625000e-03,-3.67187500e-02
-7.61285000e-07,1.46875000e-02,-5.62500000e-04,-5.31250000e-04,-3.54687500e-02
-7.58085000e-07,1.45312500e-02,-2.00000000e-03,-3.12500000e-05,-3.10937500e-02
-7.54885000e-07,9.37500000e-03,-1.50000000e-03,-1.15625000e-03,-2.85937500e-02
-7.51685000e-07,7.96875000e-03,-1.34375000e-03,-7.81250000e-04,-3.23437500e-02
-7.48485000e-07,1.01562500e-02,-1.25000000e-03,-1.40625000e-03,-3.59375000e-02
-7.45285000e-07,1.54687500e-02,-4.37500000e-04,-1.53125000e-03,-3.25000000e-02
-7.42085000e-07,9.84375000e-03,-1.62500000e-03,-1.53125000e-03,-3.70312500e-02
-7.38885000e-07,1.14062500e-02,-1.50000000e-03,-4.06250000e-04,-3.76562500e-02
-7.35685000e-07,1.12500000e-02,-2.34375000e-03,-3.12500000e-05,-3.64062500e-02
-7.32485000e-07,7.65625000e-03,-1.56250000e-03,4.68750000e-04,-3.56250000e-02
-7.29285000e-07,1.40625000e-02,-3.43750000e-04,-1.03125000e-03,-3.40625000e-02
-7.26085000e-07,1.64062500e-02,-1.50000000e-03,-2.81250000e-04,-3.68750000e-02
-7.22885000e-07,1.10937500e-02,-8.12500000e-04,3.43750000e-04,-3.20312500e-02
-7.19685000e-07,1.42187500e-02,-1.50000000e-03,-1.15625000e-03,-3.37500000e-02
-7.16485000e-07,1.79687500e-02,6.87500000e-04,-1.03125000e-03,-2.46875000e-02
-7.13285000e-07,1.81250000e-02,-6.87500000e-04,-1.15625000e-03,-2.73437500e-02
-7.10085000e-07,6.09375000e-03,2.18750000e-04,-4.06250000e-04,-2.90625000e-02
-7.06885000e-07,1.21875000e-02,-6.87500000e-04,-5.31250000e-04,-2.21875000e-02
-7.03685000e-07,1.12500000e-02,3.12500000e-05,-4.06250000e-04,-2.82812500e-02
-7.00485000e-07,9.21875000e-03,-1.43750000e-03,-1.03125000e-03,-3.10937500e-02
-6.97285000e-07,3.12500000e-04,-1.59375000e-03,-2.15625000e-03,-2.96875000e-02
-6.94085000e-07,1.09375000e-03,-6.87500000e-04,9.37500000e-05,-3.26562500e-02
-6.90885000e-07,-1.40625000e-03,-2.09375000e-03,-7.81250000e-04,-3.64062500e-02
-6.87685000e-07,3.59375000e-03,-9.68750000e-04,-2.03125000e-03,-4.12500000e-02
-6.84485000e-07,2.03125000e-03,-4.68750000e-04,1.09375000e-03,-3.15625000e-02
-6.81285000e-07,1.56250000e-03,-1.50000000e-03,-6.56250000e-04,-2.89062500e-02
-6.78085000e-07,9.84375000e-03,-3.75000000e-04,-1.40625000e-03,-2.95312500e-02
-6.74885000e-07,-4.68750000e-04,-9.68750000e-04,-1.40625000e-03,-2.35937500e-02
-6.71685000e-07,-4.37500000e-03,-1.59375000e-03,-5.31250000e-04,-3.71875000e-02
-6.68485000e-07,1.12500000e-02,-1.06250000e-03,-4.06250000e-04,-3.20312500e-02
-6.65285000e-07,1.12500000e-02,5.62500000e-04,-1.03125000e-03,-2.32812500e-02
-6.62085000e-07,1.51562500e-02,-1.06250000e-03,-2.03125000e-03,-2.93750000e-02
-6.58885000e-07,1.26562500e-02,-3.12500000e-04,-3.12500000e-05,-2.73437500e-02
-6.55685000e-07,1.53125000e-02,-1.15625000e-03,-1.03125000e-03,-2.62500000e-02
