,0
273,-7.6552939198491385
274,-7.80851381294982
275,-7.996739490218136
276,-8.214445632457895
277,-8.454786824671114
278,-8.70951857322759
279,-8.96899940792207
280,-9.222331882704946
281,-9.457696400394804
282,-9.662913161487454
283,-9.826230964827534
284,-9.93728909454438
285,-9.98814006183488
286,-9.974174169139154
287,-9.894772023283275
288,-9.75354204074696
289,-9.558074987736523
290,-9.319246818925938
291,-9.050193377910533
292,-8.76513710421775
293,-8.478252807676597
294,-8.202721952826773
295,-7.95006162343856
296,-7.72974777210645
297,-7.5490994510533636
298,-7.413359139761349
299,-7.325893431938377
300,-7.288442833954584
301,-7.301362649336039
302,-7.3638133827756915
303,-7.473875359077375
304,-7.628576919587793
305,-7.823838757368476
306,-8.054349665904567
307,-8.313402345025965
308,-8.592732490070201
309,-8.882419358971054
310,-9.170918382950548
311,-9.44530062223271
312,-9.691762490159556
313,-9.896435102751333
314,-10.04646346809757
315,-10.131248830138503
316,-10.143672537636522
317,-10.081075426932756
318,-9.945779140087131
319,-9.74501397008125
320,-9.49024380357979
321,-9.196012062500435
322,-8.87852821957789
323,-8.554244122769536
324,-8.238632588277698
325,-7.945300757719031
326,-7.685479820742376
327,-7.467857398948461
328,-7.298672390841731
329,-7.181974815879268
330,-7.119957843206161
331,-7.113286194751233
332,-7.161366393449062
333,-7.262524787217163
334,-7.414076781206521
335,-7.612285355126678
336,-7.852220185839823
337,-8.127542518602976
338,-8.430257017022356
339,-8.750490618304722
340,-9.076378018406464
341,-9.394148469399358
342,-9.688509954880553
343,-9.943403109633126
344,-10.143139299879186
345,-10.27384551525604
346,-10.325030421859896
347,-10.29099641312839
348,-10.171794655654532
349,-9.973482995438006
350,-9.707594102793813
351,-9.38990733104624
352,-9.03877569792394
353,-8.673335115317112
354,-8.3119006712788
355,-7.970758815785802
356,-7.663440299032746
357,-7.400449010891799
358,-7.189350409934941
359,-7.035093767867583
360,-6.9404455422961835
361,-6.9064329303979575
362,-6.932724860384652
363,-7.017904470117969
364,-7.15960900238724
365,-7.354529816168128
366,-7.598278725750523
367,-7.885139994974341
368,-8.207743030700858
369,-8.556711340511576
370,-8.920368780966086
371,-9.28461092333333
372,-9.633068540048576
373,-9.947687150788894
374,-10.2098040947795
375,-10.401711218477201
376,-10.508553424241846
377,-10.520265309270748
378,-10.433148936419409
379,-10.250705620916188
380,-9.98347824075916
381,-9.647901463651529
382,-9.264407020360206
383,-8.855194312855433
384,-8.442101509762276
385,-8.044912162288954
386,-7.680267133809361
387,-7.361189104951824
388,-7.097112136189723
389,-6.894254866692587
390,-6.7561724086949795
391,-6.684348740517742
392,-6.678729496002633
393,-6.738131760466103
394,-6.860496731233734
395,-7.042971837218314
396,-7.281823186640231
397,-7.572190686118606
398,-7.907711144539586
399,-8.280053282907357
400,-8.678435723234404
401,-9.089234587092449
402,-9.495825484224788
403,-9.878831275254283
404,-10.2169392065732
405,-10.488382819927404
406,-10.673040482992903
407,-10.754899797292754
408,-10.724436708849343
409,-10.580354104987444
410,-10.330198546511973
411,-9.989635450237051
412,-9.580524428888982
413,-9.128250151409883
414,-8.658906727003949
415,-8.196872945210073
416,-7.763113523637652
417,-7.374301797284366
418,-7.04266806993689
419,-6.776373055219117
420,-6.580181750007002
421,-6.4562418116795754
422,-6.404821969692641
423,-6.424918479639146
424,-6.514679855869454
425,-6.671628987490843
426,-6.892679091839081
427,-7.173950108460517
428,-7.510400483415481
429,-7.895301637702163
430,-8.31960437899027
431,-8.771282336745374
432,-9.234787453104127
433,-9.690808783882309
434,-10.116567711041466
435,-10.48687535154349
436,-10.776080866038196
437,-10.960829430473101
438,-11.023253891566712
439,-10.953944953437375
440,-10.753929160847788
441,-10.435045904697565
442,-10.018539783379083
443,-9.53220621947053
444,-9.00681553541415
445,-8.472640524805978
446,-7.956731115039192
447,-7.481249494243574
448,-7.062857772703417
449,-6.712937804189146
450,-6.4383402290040985
451,-6.24237526093663
452,-6.125823504123375
453,-6.08782201150596
454,-6.126546271406464
455,-6.23965451745929
456,-6.4244872792273675
457,-6.678027273802019
458,-6.996629001574461
459,-7.375530698638524
460,-7.808170949707767
461,-8.285355897558034
462,-8.794367400712346
463,-9.318170410738567
464,-9.834961623511044
465,-10.31837478801739
466,-10.738670809898062
467,-11.06512789717764
468,-11.269562806031276
469,-11.330489039768423
470,-11.237000145170596
471,-10.991289511197127
472,-10.608965104083207
473,-10.116959232474787
474,-9.549593140728275
475,-8.943871548257855
476,-8.33514393408318
477,-7.753933622605117
478,-7.224236155718622
479,-6.763158979366885
480,-6.381533382626982
481,-6.0850739235241225
482,-5.875723718528925
483,-5.7529335059227025
484,-5.7147288311210005
485,-5.758500041767689
486,-5.881499497534249
487,-6.081054289052031
488,-6.354508786487694
489,-6.698907800519846
490,-7.110426128775918
491,-7.583552294318114
492,-8.110053098331576
493,-8.677791948861797
494,-9.269556571731313
495,-9.862169687128839
496,-10.426285436413224
497,-10.927353150998389
498,-11.328159046427372
499,-11.593036117374616
500,-11.693251003573044
501,-11.61240664338984
502,-11.350297593597439
503,-10.923871097103044
504,-10.364827329767891
505,-9.71454638833667
506,-9.017860306272695
507,-8.317317256637459
508,-7.649083123038895
509,-7.040873473035206
510,-6.511684163104998
511,-6.072766548037144
512,-5.72924939644193
513,-5.481928109711016
514,-5.328910395902968
515,-5.266957633901474
516,-5.292466454439707
517,-5.402094926721079
518,-5.593062172074404
519,-5.8631511109310255
520,-6.2104317658219745
521,-6.632705799483043
522,-7.126660227461044
523,-7.686719763053503
524,-8.303616785592697
525,-8.962772433563073
526,-9.642716527196141
527,-10.313965552748977
528,-10.938981510248578
529,-11.47393529055115
530,-11.872818168460535
531,-12.093830100188466
532,-12.10697427295381
533,-11.900813063318987
534,-11.486052276714704
535,-10.894461852398685
536,-10.173343140659584
537,-9.377387038142993
538,-8.560437182958207
539,-7.7691852663345236
540,-7.039700670522523
541,-6.396632065097359
542,-5.854314883981329
543,-5.418893090949954
544,-5.090730084788117
545,-4.8666445109218595
546,-4.741740689530196
547,-4.710765420705885
548,-4.769013515727421
549,-4.912841132467269
550,-5.13984794060265
551,-5.4487711112787895
552,-5.839106225839694
553,-6.310439696018466
554,-6.861451406101268
555,-7.4885355750729445
556,-8.184009701378155
557,-8.933962181759274
558,-9.71595992981106
559,-10.497115612923812
560,-11.233362392737558
561,-11.871050946372398
562,-12.351877059448475
563,-12.62134302737792
564,-12.63940966314539
565,-12.390309775302848
566,-11.887841172703277
567,-11.173734326718215
568,-10.30948606268608
569,-9.364684694315233
570,-8.405744057859986
571,-7.487921791338618
572,-6.651586210169052
573,-5.922118712405431
574,-5.312124853004725
575,-4.8246459709160305
576,-4.456436155010728
577,-4.200789362101009
578,-4.049722320649384
579,-3.995512438966849
580,-4.03168138884131
581,-4.153540202198105
582,-4.358399569539459
583,-4.645518152140342
584,-5.015822257633213
585,-5.471387060995152
586,-6.014625555214271
587,-6.647091070227927
588,-7.367773342874797
589,-8.170780270701053
590,-9.042390178312829
591,-9.957693721915893
592,-10.877476172294083
593,-11.74659846037343
594,-12.495694860955009
595,-13.047989365290638
596,-13.331765641885465
597,-13.296321163698005
598,-12.926232881660555
599,-12.247805783644258
600,-11.324308737676628
601,-10.241784783814467
602,-9.091296047376236
603,-7.953848802054518
604,-6.891523113812847
605,-5.945000344421277
606,-5.135640417379745
607,-4.4698192748393195
608,-3.943748832259813
609,-3.547757527191825
610,-3.2696231773991284
611,-3.096924689382432
612,-3.0185574147242353
613,-3.0256117307483352
614,-3.111804768559287
615,-3.2736178410163883
616,-3.5102461529203604
617,-3.823420729246539
618,-4.217116629244321
619,-4.697114390680272
620,-5.270329876211551
621,-5.943769004445264
622,-6.722901548492058
623,-7.609199713084716
624,-8.596598625653495
625,-9.666799990477735
626,-10.783801459441472
627,-11.888933657193924
628,-12.898968328900306
629,-13.710920078037258
630,-14.216619818554964
631,-14.326498294125042
632,-13.995743180410178
633,-13.241238828718638
634,-12.13990584301778
635,-10.808549407480296
636,-9.375017247736812
637,-7.952892862641577
638,-6.626938588360122
639,-5.449662426773469
640,-4.445348376793131
641,-3.617310584066909
642,-2.955377994818632
643,-2.44211929992258
644,-2.0573803228200047
645,-1.7812607208467743
646,-1.5958638713960263
647,-1.4861777505176677
648,-1.4403925917075462
649,-1.4498888923467301
650,-1.5090612693039425
651,-1.6150880619601955
652,-1.7677144249999126
653,-1.9690858615263507
654,-2.2236464172770045
655,-2.5380972048725754
656,-2.9213920730206846
657,-3.3847225800296994
658,-3.9414067857999697
659,-4.606536290242815
660,-5.396142210108929
661,-6.325504603498872
662,-7.4060584903768305
663,-8.640200191043151
664,-10.013343256484172
665,-11.483191244080476
666,-12.96797282277353
667,-14.338729626138564
668,-15.424656772919274
669,-16.04091991255729
670,-16.03930766844232
671,-15.363526698743838
672,-14.077669940112873
673,-12.34754669489256
674,-10.385682599793482
675,-8.392120970339954
676,-6.516954976490298
677,-4.850026234744512
678,-3.4289386717516326
679,-2.254126750794066
680,-1.3035938447392708
681,-0.5442776098582208
682,0.06036353183603504
683,0.5458698424909165
684,0.944513016828817
685,1.28446897345326
686,1.5898564693647457
687,1.8812482714243361
688,2.1763997352071573
689,2.491035884358696
690,2.839599569781395
691,3.2358966393820836
692,3.6935835421885375
693,4.22643002175023
694,4.848253772704805
695,5.572363488931546
696,6.410263222500664
697,7.369279252619299
698,8.44871919381992
699,9.634276902993555
700,10.890869364379556
701,12.155214441063913
702,13.331346186346089
703,14.294286890218956
704,14.907224542675227
705,15.052933410678259
706,14.670520222330518
707,13.780124304741978
708,12.480736981373127
709,10.921309725573977
710,9.260627905056253
711,7.6342277678678006
712,6.137678600887802
713,4.825043475199425
714,3.716273916063377
715,2.8075236019292213
716,2.080724862429651
717,1.510960043846662
718,1.0714647880202066
719,0.7366591060711934
720,0.4837357646901027
721,0.2932841397620113
722,0.14932046593618534
723,0.038988150606696005
724,-0.047896622825413175
725,-0.11934525546252864
726,-0.18168133389814278
727,-0.2399793372829275
728,-0.2984474355189327
729,-0.36075639695994555
730,-0.43032324592369264
731,-0.510561518989024
732,-0.6051111787046171
733,-0.7180613902878649
734,-0.8541790002811833
735,-1.0191548919729982
736,-1.2198793084013986
737,-1.4647551720356038
738,-1.7640541513455972
739,-2.130311315168762
740,-2.5787361911364246
741,-3.1275828210227483
742,-3.7983549432643255
743,-4.61560175181263
744,-5.60585115672252
745,-6.794893473939211
746,-8.202162350696268
747,-9.830493958599646
748,-11.649599645081517
749,-13.573441561159603
750,-15.437399257846875
751,-16.991450528861897
752,-17.934232208547048
753,-18.001868847038466
754,-17.08190367399344
755,-15.278051307356447
756,-12.871270028243634
757,-10.205274402387143
758,-7.576524676730408
759,-5.180611094718093
760,-3.1123293858405
761,-1.3918359232359452
762,0.00578831855652745
763,1.1275552659741335
764,2.0277362019893608
765,2.7594855780842193
766,3.3707465981522224
767,3.90271226160599
768,4.389675420759499
769,4.859531861988273
770,5.33448373245717
771,5.831664859977149
772,6.363514006704474
773,6.937787505963555
774,7.5571539521707045
775,8.218374254532478
776,8.911164442376252
777,9.616986069484673
778,10.308210976291152
779,10.9483190416926
780,11.493891563311514
781,11.898974044426483
782,12.121740592573094
783,12.132352535499528
784,11.919896895183268
785,11.496006538180398
786,10.893657023635026
787,10.161407873879277
788,9.355030750410988
789,8.52912169091985
790,7.730754920994173
791,6.99606053444757
792,6.349520510777702
793,5.805177115241142
794,5.368838018125149
795,5.040544617510988
796,4.816841028382635
797,4.692619479615597
798,4.66248053433109
799,4.721636029395808
800,4.86641776981429
801,5.094455467456374
802,5.4045681315458465
803,5.796384132922989
804,6.269673558574902
805,6.823349251801895
806,7.4540804778916225
807,8.154482927315676
808,8.91092766372089
809,9.70118243094704
810,10.49238202504967
811,11.240186283966347
812,11.89027432307187
813,12.383242170452775
814,12.663171730638561
815,12.688553564480971
816,12.442474146944855
817,11.938240271480144
818,11.217880898991565
819,10.343857197742354
820,9.387079624768852
821,8.41529780656941
822,7.484864174908363
823,6.636883853834453
824,5.897117454916922
825,5.278260522046349
826,4.783245721216654
827,4.4086038312362055
828,4.147356078568706
829,3.991241868656254
830,3.932284733034264
831,3.963792417467582
832,4.080912128814909
833,4.280849136596024
834,4.5628253269753865
835,4.927814235784936
836,5.378045310351389
837,5.916225162717467
838,6.544381139982312
839,7.262202337250474
840,8.064757241481356
841,8.939546948490086
842,9.86307075960692
843,10.797500565090777
844,11.688679453845205
845,12.467282045654114
846,13.055085783509353
847,13.37718064659305
848,13.378267654891326
849,13.037961937950998
850,12.378626412596862
851,11.461690557950359
852,10.373731846111689
853,9.208166058203345
854,8.049204787355709
855,6.96208512468902
856,5.990033562409351
857,5.156138293704615
858,4.467729309758794
859,3.9213589859551696
860,3.507268623161654
861,3.2128843368589846
862,3.025292152362571
863,2.9328376091554076
864,2.9260571889682914
865,2.9981411506049787
866,3.145089701444303
867,3.3656776995789537
868,3.661296045785889
869,4.035692432590756
870,4.494588202700929
871,5.045097994600629
872,5.694821195095355
