L,γ = 0.04,γ = 0.1,γ = 0.2,γ = 0.4,γ = 0.67,γ = 1.0,γ = 1.5,γ = 2.5,γ = 5.0,γ = 10.0,γ = 25.0
0.438877755511022,0.967595283550632,0.9209464050082604,0.8481422808976389,0.7193453286462496,0.5759306498064397,0.438877755511022,0.2907470746861694,0.1276024235596615,0.01628237849829926,0.00026511584956187805,1.1444299909709784e-09
0.44088176352705405,0.9677716270816322,0.9213660668821849,0.848915429201947,0.7206574059371258,0.5776913045813566,0.44088176352705405,0.29274076458741016,0.1290640645475556,0.016657532757535592,0.0002774733975683714,1.2824882060619967e-09
0.4428857715430861,0.9679472027861511,0.9217840154558468,0.8496857711499047,0.7219659096946084,0.5794493203432788,0.4428857715430861,0.2947389907666873,0.13053570532953485,0.017039570365879154,0.00029034695825374705,1.4364588903500984e-09
0.4448897795591182,0.9681220174591489,0.922200265429125,0.8504533295575486,0.7232708657555206,0.5812047129623058,0.4448897795591182,0.2967417429492394,0.13201736860667562,0.017428585613830865,0.0003037555964986322,1.6080913678832147e-09
0.44689378757515025,0.9682960778051813,0.9226148313102603,0.8512181269536602,0.7245722996544977,0.5829574981420952,0.44689378757515025,0.2987490109298081,0.1335090770287519,0.017824673649069207,0.0003177189906958222,1.7993180457831277e-09
0.4488977955911823,0.9684693904400014,0.9230277274191999,0.8519801855846528,0.7258702366288596,0.5847076914223456,0.4488977955911823,0.30076078457185806,0.13501085319458153,0.01822793048032885,0.0003322574495957016,2.012272618909236e-09
0.4509018036072144,0.9686419618921258,0.923438967890869,0.8527395274193533,0.7271647016233822,0.5864553081812323,0.4509018036072144,0.3027770538068091,0.1365227196523688,0.01863845298127929,0.0003473919295353589,2.2493099904429537e-09
0.45290581162324645,0.9688137986043676,0.9238485666783718,0.8534961741536818,0.7284557192949722,0.5882003636377965,0.45290581162324645,0.30479780863328026,0.13804469890004276,0.019056338894403464,0.0003631440520583542,2.51302806133026e-09
0.4549098196392785,0.968984906935334,0.9242565375561227,0.8542501472152324,0.7297433140172463,0.5899428728542881,0.4549098196392785,0.30682303911634556,0.13957681338559208,0.019481686834876395,0.0003795361219321962,2.8062915543739213e-09
0.4569138276553106,0.9691552931608931,0.9246628941229105,0.8550014677677567,0.7310275098850183,0.5916828507384642,0.4569138276553106,0.3088527353868015,0.1411190855073963,0.019914596294443823,0.0003965911455706757,3.132258052636503e-09
0.45891783567134264,0.9693249634756069,0.9250676498048962,0.8557501567155541,0.7323083307186955,0.5934203120458439,0.45891783567134264,0.31088688764044536,0.14267153761455306,0.020355167645300837,0.000414332849868302,3.4944064467757226e-09
0.4609218436873747,0.9694939239941353,0.9254708178585478,0.8564962347077694,0.7335858000685865,0.5951552713819204,0.4609218436873747,0.312925486137365,0.14423419200720228,0.020803502143970493,0.000432785701454185,3.896568002065311e-09
0.4629258517034068,0.9696621807526083,0.9258724113735116,0.8572397221426011,0.7348599412191241,0.5968877432043317,0.4629258517034068,0.31496852120123897,0.14580707093684608,0.021259701935182465,0.0004519749263728012,4.342960273243237e-09
0.46492985971943884,0.96982973970997,0.9262724432754235,0.8579806391714225,0.7361307771930029,0.5986177418249907,0.46492985971943884,0.3170159832186481,0.14739019660666602,0.021723870055751666,0.00047192653019918404,4.838224114066723e-09
0.4669338677354709,0.9699966067492928,0.9266709263286604,0.8587190057028176,0.7373983307552358,0.6003452814121749,0.4669338677354709,0.31906786263839637,0.14898359117183635,0.02219611043845688,0.0004926673185961744,5.387464048637956e-09
0.468937875751503,0.9701627876790645,0.9270678731390348,0.8594548414065336,0.7386626244171299,0.6020703759925783,0.468937875751503,0.3211241499708429,0.1505872767398341,0.022676527915919387,0.0005142249183214711,5.996292293300453e-09
0.47094188376753504,0.9703282882344484,0.9274632961564321,0.8601881657173536,0.7399236804401855,0.6037930394533244,0.47094188376753504,0.32318483578724333,0.15220127537074585,0.02316522822448161,0.0005366277986923194,6.670876741305469e-09
0.4729458917835671,0.9704931140785155,0.9278572076773932,0.8609189978388891,0.7411815208399172,0.6055132855439431,0.4729458917835671,0.3252499107191017,0.15382560907757115,0.02366231800808574,0.0005599052935157786,7.417993247629826e-09
0.4749498997995992,0.9706572708034523,0.9282496198476442,0.8616473567472961,0.7424361673896022,0.6072311278783102,0.4749498997995992,0.3273193654575311,0.15546029982652276,0.024167904822152357,0.0005840876234926151,8.245082578418483e-09
